idTweeter;fecha;autor;cuenta;seguidores;retweet;textoLimpio;polaridad;subjetivo;geolocalizacion
1089600338968133635;2019-01-27  19:05:39;GALAXIA  DE  VERGA;GALAXIADEVERGA;17354;3;ENCUESTAALPASO  ENCUESTAALPASO  ECUADOR  INSTITUCION  FINANCIERA  ECUADORDEMIERDA  PEOR  BANCOPICHINCHA  B  PRODUBANCO;0.34;0.42000000000000004;ECUADOR
1089600201218838528;2019-01-27  19:05:06;ANDREA;ANESS_77;1299;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;MANTA,  ECUADOR
1089600091789377538;2019-01-27  19:04:40;CHRISTIAN  D  TROYA  G.;PIPO1178;709;0;IMAGINO  Q  MAFIAS  CLIENTES  BANCO  BANCOPICHINCHA  FEGASG  HTTPS  TCOG4MV2USBCS;0.34;0.42000000000000004;QUITO,  ECUADOR
1089597732673728513;2019-01-27  18:55:17;FUTBOL;RONALDBS7;442;7;C_SALAZARC19  EMPEZARON  CAMBIOS  BANCOPICHINCHA  ESTRENARA  NOCHE  BLANQUIAZUL  ZONA  OCCIDENTE  PALCO  PIC;0.34;0.42000000000000004;MADRID,  COMUNIDAD  DE  MADRID
1089596742478249985;2019-01-27  18:51:21;JEAN  PAUL  CARPIO;JEANPAULCARPIO1;86;491;HRUGEL  AHORA  SI  ESTADIO  MONUMENTAL  BANCOPICHINCHA  VA  REGRESANDO  NIVEL  SIEMPRE  DEBIO  TENER  HERMOSA;0.34;0.42000000000000004;GUAYAQUIL,  ECUADOR
1089595901352574978;2019-01-27  18:48:01;ALEX  FRANCISCO  ;ALEXFRANCISCOSA;333;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;ECUADOR,  GUAYAQUIL
1089592936822722560;2019-01-27  18:36:14;ANGEL  MORILLO  H.;AMORILLH;146;0;NACIONAL  ALIANZA  LIMA  AUSPICIANTE  ECUATORIANO  HTTPS  TCOTQ1QIXYYON;0.34;0.42000000000000004;
1089592207919775745;2019-01-27  18:33:20;OSCAR  ESPINOZA;OSCARES1988;271;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;ECUADOR
1089592127779155968;2019-01-27  18:33:01;ANDRE  MEDINA;ANDREME04387093;53;21;SOLDADOSDELKITU  MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS;0.34;0.42000000000000004;GUAYAS,  ECUADOR
1089590740991307777;2019-01-27  18:27:30;SDK;SOLDADOSDELKITU;11160;21;MAS  UNE  BANCOPICHINCHA  MENSAJE  BANDERAS  ECUADOR  PERU  SUSCRIBETE  BSC  HTTPS  TCOPO997UQCGI  HTTPS  TCOGLZORLEO7N;0.34;0.42000000000000004;
1089589524253102080;2019-01-27  18:22:40;LORENZO  FIGUEROA  O.;LORBALFIGOR;508;5;SOLDADOSDELKITU  MENSAJE  BANCOPICHINCHA  NOCHE  AMARILLA  MAS  UNE  SUSCRIBETE  BSC  HTTPS  TCOPO997UQCGI;0.34;0.42000000000000004;
1089589366647898112;2019-01-27  18:22:03;ANTONIO  YATACO  BAZAN;ANTONIO_YATACOB;55;7;C_SALAZARC19  EMPEZARON  CAMBIOS  BANCOPICHINCHA  ESTRENARA  NOCHE  BLANQUIAZUL  ZONA  OCCIDENTE  PALCO  PIC;0.34;0.42000000000000004;PERU,  LIMA,  SURCO
1089588719458373633;2019-01-27  18:19:28;ALEJANDROESC;ALEJANDROESC;359;2;DA  GUSTO  VER  MARCAS  ESFUERZAN  HACER  MEJOR  TRABAJO  PATROCINADORES  SOLO  PIENSAN  Q  TENER  MAS  VALLAS  MAS  REPETICIONES  UNICO  GANADOR  BANCOPICHINCHA  DEPENDER  ONE  HUNDRED  CLUB  HACER  BUEN  TRABAJO  NOCHEAMARILLA2019;0.34;0.42000000000000004;GUAYAQUIL  -  ECUADOR
1089587484638543877;2019-01-27  18:14:34;ALEJANDROESC;ALEJANDROESC;359;1;BIEN  JUGADO  BANCOPICHINCHA  SIENDO  CREATIVOS  TENER  DEPENDER  JUGADOR  ESTELAR  TRAJERON  PAIDO  SOLO  QUEDA  HTTPS  TCOZXC3LLFHC4;0.34;0.42000000000000004;GUAYAQUIL  -  ECUADOR
1089587098544427009;2019-01-27  18:13:02;J.OMAR  P.  CHANCAFE;CHANCAFE281296;96;7;C_SALAZARC19  EMPEZARON  CAMBIOS  BANCOPICHINCHA  ESTRENARA  NOCHE  BLANQUIAZUL  ZONA  OCCIDENTE  PALCO  PIC;0.34;0.42000000000000004;CHICLAYO,  PERU
1089586851227291648;2019-01-27  18:12:03;ALEJANDROESC;ALEJANDROESC;359;1;HABIA  VISTO  BUENA  ACCION  BANCOPICHINCHA  EVENTO  MASIVO  ANO  PENSANDO  ACONTECIMIENTO  HISTORICO  CONECTANDOLO  DOS  REFERENTES  FUTBOL  NACIONES  INVOLUCRADAS  CONFLICTO  DIERON  VUELTA  QUEDO  BIEN  CAMBIO  HTTPS  TCOXLNRSK34MP;0.34;0.42000000000000004;GUAYAQUIL  -  ECUADOR
1089584647871389699;2019-01-27  18:03:18;JESUS  PISCO;PISCO_JESUS;302;5;SOLDADOSDELKITU  MENSAJE  BANCOPICHINCHA  NOCHE  AMARILLA  MAS  UNE  SUSCRIBETE  BSC  HTTPS  TCOPO997UQCGI;0.34;0.42000000000000004;PORTOVIEJO-ECUADOR
